年份	cpi     gdp
1977 	2.7 	7.6
1978 	0.7 	11.7
1979 	1.9 	7.6
1980 	7.5 	7.8
1981 	2.5 	5.1
1982 	2.0 	9
1983 	2.0 	10.8
1984 	2.7 	15.2
1985 	9.3 	13.4
1986 	6.5 	8.9
1987 	7.3 	11.7
1988 	18.8 	11.2
1989 	18.0 	4.2
1990 	3.1 	3.9
1991 	3.4 	9.3
1992 	6.4 	14.2
1993 	14.7 	13.9
1994 	24.1 	13
1995 	17.1 	11
1996 	8.3 	9.9
1997 	2.8 	9.2
1998 	-0.8 	7.8
1999 	-1.4 	7.7
2000 	0.4 	8.5
2001 	0.7 	8.3
2002 	-0.8 	9.1
2003 	1.2 	10
2004 	3.9 	10.1
2005 	1.8 	11.4
2006 	1.5 	12.7
2007 	4.8 	14.2
2008 	5.9 	9.7
2009 	-0.7 	9.4
2010 	3.3 	10.6
2011 	5.4 	9.6
2012 	2.6 	7.9
2013 	2.6 	7.8
2014 	2.0 	7.4
2015 	1.4 	7
2016 	2.0 	6.8
2017 	1.6 	6.9
2018 	2.1 	6.7
2019 	2.9 	6
2020 	2.5 	2.2
2021 	0.9 	8.4
2022 	2.0 	3
2023 	0.2 	5.2
